Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type
3834,272000.0,1183.0,-9.2,Supergiant
3749,550000.0,1648.0,-8.05,Supergiant
3650,310000.0,1324.0,-7.79,Supergiant
3450,263000.0,1349.0,-11.75,Supergiant
3660,363000.0,1673.0,-11.92,Supergiant
3450,174000.0,1284.0,-11.28,Supergiant
3752,209000.0,955.0,-11.24,Supergiant
3535,195000.0,1546.0,-11.36,Supergiant
3341,0.0056,0.057,16.23,Brown Dwarf
3432,0.00067,0.19,16.94,Brown Dwarf
2983,0.00024,0.094,16.09,Brown Dwarf
2835,0.00034,0.0918,16.96,Brown Dwarf
2935,0.00014,0.116,18.89,Brown Dwarf
3295,0.00098,0.132,17.13,Brown Dwarf
2945,0.00032,0.093,18.34,Brown Dwarf
2817,0.00098,0.0911,16.45,Brown Dwarf
2774,0.00036,0.118,17.39,Brown Dwarf
2871,0.00072,0.12,19.43,Brown Dwarf
3345,0.021,0.273,12.3,Red Dwarf
3607,0.022,0.38,10.12,Red Dwarf
3304,0.0085,0.18,13.2,Red Dwarf
3150,0.0088,0.35,11.94,Red Dwarf
3550,0.004,0.291,10.89,Red Dwarf
3180,0.001,0.35,11.76,Red Dwarf
2890,0.0034,0.24,13.46,Red Dwarf
3342,0.0015,0.307,11.87,Red Dwarf
2621,0.0006,0.098,12.81,Red Dwarf
3158,0.00135,0.161,13.98,Red Dwarf
7100,0.00029,0.012,14.09,White Dwarf
10574,0.00014,0.0092,12.02,White Dwarf
8930,0.00056,0.0095,13.78,White Dwarf
17200,0.00098,0.015,12.45,White Dwarf
14100,0.00067,0.0089,12.17,White Dwarf
9675,0.00045,0.0109,13.98,White Dwarf
12010,0.00078,0.0092,12.13,White Dwarf
10980,0.00074,0.0087,11.19,White Dwarf
13720,0.00018,0.00892,12.97,White Dwarf
19860,0.0011,0.0131,11.34,White Dwarf
5300,0.59,0.91,5.49,Main Sequence
4526,0.153,0.865,6.506,Main Sequence
4077,0.085,0.795,6.228,Main Sequence
4980,0.357,1.13,4.78,Main Sequence
9030,45.0,2.63,1.45,Main Sequence
11250,672.0,6.98,-2.3,Main Sequence
5112,0.63,0.876,4.68,Main Sequence
7720,7.92,1.34,2.44,Main Sequence
12098,689.0,7.01,0.02,Main Sequence
36108,198000.0,10.2,-4.4,Main Sequence
33300,240000.0,12.0,-6.5,Hypergiant
40000,813000.0,14.0,-6.23,Hypergiant
23000,127000.0,36.0,-5.76,Hypergiant
17120,235000.0,83.0,-6.89,Hypergiant
11096,112000.0,12.0,-5.91,Hypergiant
14245,231000.0,42.0,-6.12,Hypergiant
24630,363000.0,63.0,-5.83,Hypergiant
12893,184000.0,36.0,-6.34,Hypergiant
24345,142000.0,57.0,-6.24,Hypergiant
33421,352000.0,67.0,-5.79,Hypergiant
3459,100000.0,1289.0,-10.7,Supergiant
3605,126000.0,1124.0,-10.81,Supergiant
3615,200000.0,1635.0,-11.33,Supergiant
3399,117000.0,1486.0,-10.92,Supergiant
3610,132000.0,1522.0,-10.86,Supergiant
3553,145000.0,1324.0,-11.03,Supergiant
4015,282000.0,1534.0,-11.39,Supergiant
3625,74000.0,876.0,-10.25,Supergiant
6850,229000.0,1467.0,-10.07,Supergiant
3780,200000.0,1324.0,-10.7,Supergiant
3323,0.00043,0.0912,17.16,Brown Dwarf
3531,0.00093,0.0976,19.94,Brown Dwarf
3218,0.00054,0.11,20.02,Brown Dwarf
3146,0.00015,0.0932,16.92,Brown Dwarf
3511,0.00064,0.109,17.12,Brown Dwarf
3225,0.00076,0.121,19.63,Brown Dwarf
2935,0.00087,0.0932,16.88,Brown Dwarf
2861,0.00019,0.0899,16.71,Brown Dwarf
2856,0.000896,0.0782,19.56,Brown Dwarf
2731,0.000437,0.0856,18.09,Brown Dwarf
3095,0.00019,0.492,10.87,Red Dwarf
3607,0.00023,0.38,10.34,Red Dwarf
3100,0.008,0.31,11.17,Red Dwarf
2989,0.0087,0.34,13.12,Red Dwarf
3542,0.0009,0.62,14.23,Red Dwarf
3243,0.0023,0.73,14.75,Red Dwarf
3091,0.0081,0.24,11.43,Red Dwarf
3598,0.0011,0.56,14.26,Red Dwarf
3324,0.0034,0.34,12.23,Red Dwarf
3541,0.0013,0.256,14.33,Red Dwarf
13420,0.00059,0.00981,13.67,White Dwarf
21020,0.0015,0.0112,11.52,White Dwarf
18290,0.0013,0.00934,12.78,White Dwarf
14520,0.00082,0.00972,11.92,White Dwarf
11900,0.00067,0.00898,11.38,White Dwarf
8924,0.00028,0.00879,14.87,White Dwarf
12912,0.00071,0.00945,12.83,White Dwarf
14732,0.00011,0.00892,12.89,White Dwarf
7723,0.00014,0.00878,14.81,White Dwarf
12984,0.00088,0.00996,11.23,White Dwarf
29560,188000.0,6.02,-4.01,Main Sequence
8945,38.0,2.487,0.12,Main Sequence
14060,1092.0,5.745,-2.04,Main Sequence
16390,1278.0,5.68,-3.32,Main Sequence
25070,14500.0,5.92,-3.98,Main Sequence
28700,16790.0,6.4,-4.09,Main Sequence
26140,14520.0,5.49,-3.8,Main Sequence
20120,4720.0,6.78,-3.4,Main Sequence
13023,998.0,6.21,-1.38,Main Sequence
37800,202900.0,6.86,-4.56,Main Sequence
25390,223000.0,57.0,-5.92,Hypergiant
11567,251000.0,36.0,-6.245,Hypergiant
12675,452000.0,83.0,-5.62,Hypergiant
5752,245000.0,97.0,-6.63,Hypergiant
8927,239000.0,35.0,-7.34,Hypergiant
7282,131000.0,24.0,-7.22,Hypergiant
19923,152000.0,73.0,-5.69,Hypergiant
26373,198000.0,39.0,-5.83,Hypergiant
17383,342900.0,30.0,-6.09,Hypergiant
9373,424520.0,24.0,-5.99,Hypergiant
3570,320000.0,1480.0,-7.58,Supergiant
3500,138000.0,1420.0,-8.18,Supergiant
4287,630000.0,1315.0,-9.2,Supergiant
26000,316000.0,1679.0,-9.1,Supergiant
3600,240000.0,1190.0,-7.89,Supergiant
3614,145000.0,1553.0,-7.71,Supergiant
18000,200000.0,1045.0,-8.3,Supergiant
11000,170000.0,1779.0,-9.9,Supergiant
12100,120000.0,708.9,-7.84,Supergiant
24490,248490.0,1134.5,-8.24,Supergiant
2831,0.000231,0.0915,16.21,Brown Dwarf
2914,0.000631,0.116,18.39,Brown Dwarf
3419,0.000245,0.126,17.56,Brown Dwarf
3218,0.000452,0.0987,17.34,Brown Dwarf
3453,0.000621,0.0773,17.08,Brown Dwarf
2889,0.000352,0.0973,16.93,Brown Dwarf
2968,0.000461,0.119,17.45,Brown Dwarf
3484,0.000551,0.0998,16.67,Brown Dwarf
2778,0.000849,0.112,19.45,Brown Dwarf
3523,0.000957,0.129,16.35,Brown Dwarf
3462,0.0053,0.148,11.47,Red Dwarf
3257,0.0024,0.46,10.73,Red Dwarf
2994,0.0072,0.28,13.45,Red Dwarf
3212,0.0016,0.378,12.854,Red Dwarf
3523,0.0054,0.319,12.43,Red Dwarf
3598,0.0027,0.67,13.667,Red Dwarf
3142,0.00132,0.258,14.12,Red Dwarf
3496,0.00125,0.336,14.94,Red Dwarf
3324,0.0065,0.471,12.78,Red Dwarf
3463,0.0027,0.675,14.776,Red Dwarf
16790,0.0014,0.0121,12.87,White Dwarf
15680,0.00122,0.0114,11.92,White Dwarf
14982,0.00118,0.0113,12.23,White Dwarf
13340,0.00109,0.0116,12.9,White Dwarf
18340,0.00134,0.0124,11.22,White Dwarf
19920,0.00156,0.0142,11.34,White Dwarf
24020,0.00159,0.0127,10.55,White Dwarf
23092,0.00132,0.0104,10.18,White Dwarf
17920,0.00111,0.0106,11.66,White Dwarf
19360,0.00125,0.00998,11.62,White Dwarf
22350,12450.0,6.36,-3.67,Main Sequence
10012,552.0,5.856,0.013,Main Sequence
13089,788.0,5.992,-0.12,Main Sequence
22012,6748.0,6.64,-2.55,Main Sequence
34190,198200.0,6.39,-4.57,Main Sequence
32460,173800.0,6.237,-4.36,Main Sequence
9320,29.0,1.91,1.236,Main Sequence
19400,10920.0,6.03,-3.08,Main Sequence
17140,883.0,5.653,-2.64,Main Sequence
8250,9.25,1.93,-0.98,Main Sequence
23678,244290.0,35.0,-6.27,Hypergiant
12749,332520.0,76.0,-7.02,Hypergiant
9383,342940.0,98.0,-6.98,Hypergiant
23440,537430.0,81.0,-5.975,Hypergiant
16787,246730.0,62.0,-6.35,Hypergiant
18734,224780.0,46.0,-7.45,Hypergiant
9892,593900.0,80.0,-7.262,Hypergiant
10930,783930.0,25.0,-6.224,Hypergiant
23095,347820.0,86.0,-5.905,Hypergiant
21738,748890.0,92.0,-7.346,Hypergiant
24145,382993.0,1494.0,-8.84,Supergiant
38234,272830.0,1356.0,-9.29,Supergiant
32489,648430.0,1948.5,-10.84,Supergiant
27739,849420.0,1252.0,-7.59,Supergiant
21904,748490.0,1130.0,-7.67,Supergiant
38940,374830.0,1356.0,-9.93,Supergiant
30839,834042.0,1194.0,-10.63,Supergiant
8829,537493.0,1423.0,-10.73,Supergiant
9235,404940.0,1112.0,-11.23,Supergiant
37882,294903.0,1783.0,-7.8,Supergiant
